"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.060839375E0,-7.159700864E-3,4.720987100E-3,2.976408184E-2
2.070849375E0,4.687954900E-3,1.188001645E-2,3.155976176E-2
2.080828375E0,-1.969122504E-2,-2.014949600E-2,3.634863138E-2
2.090838375E0,-1.231248200E-2,-5.213619587E-3,3.365423441E-2
2.100817375E0,-3.535864295E-2,-1.618801653E-3,3.724676371E-2
2.110827375E0,-2.054695592E-2,-5.297417496E-3,3.889450908E-2
2.120837375E0,-4.094152791E-2,-1.194156753E-3,4.158890605E-2
2.130816375E0,-1.311349573E-2,1.395813060E-2,2.766785502E-2
2.140826375E0,7.975990442E-3,-2.893914934E-3,4.428388774E-2
2.150805375E0,2.115691644E-2,-7.311479507E-3,3.724968731E-2
2.160815375E0,2.640728212E-2,-1.291892506E-2,3.844719708E-2
2.170825375E0,2.735545382E-2,7.036511907E-3,2.317894757E-2
2.180804375E0,2.169342132E-2,2.983764483E-2,4.218999982E-2
2.190814375E0,5.115176230E-2,2.625152235E-2,4.278933942E-2
2.200793375E0,4.143015871E-2,4.829071054E-2,4.338926375E-2
2.210803375E0,7.711327189E-2,3.217448457E-2,4.383891463E-2
2.220812375E0,5.454452239E-2,-1.672733082E-2,4.952767074E-2
2.230792375E0,3.583193852E-2,-4.755214325E-2,4.204264998E-2
2.240801375E0,1.145325650E-2,-5.431860059E-2,4.069369733E-2
2.250781375E0,-2.888862118E-2,-6.067446462E-2,3.111303449E-2
2.260790375E0,-5.895334583E-2,-1.595779155E-2,2.662237287E-2
2.270800375E0,-1.120225655E-1,1.316591967E-2,2.153237164E-2
2.280779375E0,-1.074611068E-1,4.576312824E-2,4.593221784E-2
2.290789375E0,-6.359737809E-2,5.393845848E-2,2.871743023E-2
2.300768375E0,1.593272618E-2,3.720927072E-2,2.437411845E-2
2.310778375E0,1.213857302E-2,3.021760422E-2,7.362112284E-2
2.320788375E0,2.580352513E-2,1.967729908E-2,3.410330057E-2
2.330767375E0,2.166037085E-2,1.241073578E-2,1.614123881E-2
2.340777375E0,4.711102565E-2,-2.835110903E-2,3.455587506E-2
2.350756375E0,4.106858608E-2,-5.262640268E-2,3.590658188E-2
2.360766375E0,5.954036973E-2,-4.239226323E-2,5.072693467E-2
2.370776375E0,5.031582059E-2,-2.994305003E-2,3.351448596E-2
2.380755375E0,3.186056446E-2,1.795725608E-3,2.573067248E-2
2.390765375E0,5.223403623E-2,2.539916276E-2,4.713674426E-2
2.400744375E0,1.917722281E-2,3.919074364E-2,3.381444812E-2
2.410754375E0,3.608006146E-4,1.683092246E-2,6.571685672E-3
2.420764375E0,-4.437790001E-2,1.142241701E-2,5.267522693E-2
2.430711250E0,-6.864535245E-2,2.088397481E-2,6.629573107E-2
2.440721250E0,-3.932141977E-2,-6.310255746E-3,3.261401474E-2
2.450700250E0,-3.357553454E-3,-5.988115277E-3,1.060860336E-2
2.460710250E0,2.096019418E-2,-1.905038848E-2,3.889977157E-2
2.470719250E0,-2.633713838E-2,-7.610850097E-3,5.895806015E-2
2.480699250E0,-4.003585360E-2,-2.137070070E-2,3.006872177E-2
2.490708250E0,-5.771286816E-2,-5.114751393E-3,4.803136826E-2
2.500688250E0,-5.574215549E-2,-1.767277305E-2,1.644821763E-2
2.510697250E0,-6.823651331E-2,-3.947583195E-2,5.162682116E-2
2.520707250E0,-3.345970942E-2,-4.004500357E-2,3.097094715E-2
2.530686250E0,-6.582393385E-3,-9.249916007E-3,3.261752307E-2
2.540696250E0,1.549867549E-2,2.769720987E-2,2.662938952E-2
2.550675250E0,6.463205660E-2,3.126233948E-2,3.471316516E-2
2.560685250E0,9.342304755E-2,4.760640359E-2,2.079211414E-2
2.570695250E0,9.389626089E-2,3.034079774E-2,3.246900380E-2
2.580674250E0,1.064477204E-1,8.262339556E-3,3.950554311E-2
2.590684250E0,8.399399204E-2,-1.822693835E-2,3.307009757E-2
2.600663250E0,6.045616705E-2,-2.756449178E-2,4.175321281E-2
2.610673250E0,1.071969132E-2,-2.189703690E-2,5.567426383E-2
2.620683250E0,-2.994984057E-2,5.198083352E-3,2.678434074E-2
2.630662250E0,-6.909557435E-2,3.263655850E-2,5.432648063E-2
2.640672250E0,-9.642344576E-2,3.535840541E-2,4.534457266E-2
2.650651250E0,-1.045860218E-1,3.158583897E-2,2.363912344E-2
2.660661250E0,-1.075750819E-1,-8.641417287E-3,3.501371205E-2
2.670670250E0,-5.616923064E-2,-2.231896376E-2,3.036985338E-2
2.680650250E0,-1.804428366E-2,-1.051195071E-2,5.566724718E-2
2.690660250E0,3.013492322E-2,1.105721727E-2,4.339335680E-2
2.700639250E0,4.765777229E-2,3.148410427E-2,3.905355334E-2
2.710649250E0,6.670405401E-2,5.384536441E-3,3.890620351E-2
2.720658250E0,7.504645931E-2,1.108780552E-2,2.768130362E-2
2.730638250E0,7.116234581E-2,1.502490027E-3,3.501780510E-2
2.740647250E0,3.399473879E-2,5.905130496E-3,2.334383905E-2
2.750627250E0,2.642126062E-2,-1.371682331E-2,3.921084344E-2
