"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.260514250E0,-7.862565108E-4,-1.461632550E-3,1.040528761E-3
3.270493250E0,-3.003338352E-3,3.622075543E-3,-9.565756191E-4
3.280503250E0,4.599600099E-3,-2.965049818E-3,7.894798182E-5
3.290513250E0,9.350907058E-4,-1.138653606E-3,-2.528817859E-4
3.300492250E0,3.958668560E-3,-4.365161061E-3,1.503166510E-3
3.310502250E0,1.958878711E-4,1.907914877E-3,1.535657095E-3
3.320481250E0,-2.412339207E-3,8.369628340E-4,1.485950081E-3
3.330491250E0,1.549478620E-4,-1.220062375E-3,-8.805349935E-4
3.340501250E0,-1.112596598E-3,-6.122700870E-4,-1.229690155E-3
3.350480250E0,-5.393095315E-3,4.515913315E-3,1.867566025E-3
3.360490250E0,-4.224046599E-3,4.402289167E-3,-2.660762984E-4
3.370469250E0,1.146750525E-3,1.568952575E-3,2.118784469E-3
3.380479250E0,1.039146446E-3,-3.535896540E-4,1.026897458E-3
3.390489250E0,-1.118713990E-4,-3.546550870E-4,2.380691003E-4
3.400468250E0,-1.447038725E-3,-7.432699203E-4,7.202106062E-4
3.410478250E0,-4.338698927E-3,3.042414784E-3,-8.398692589E-4
3.420457250E0,5.285330117E-4,2.920515835E-4,4.901499487E-4
3.430417042E0,-1.473897602E-3,7.658284158E-4,-2.933519427E-4
3.440426042E0,1.168491319E-3,-1.330079511E-3,-3.368814941E-4
3.450406042E0,-8.653513156E-3,5.416240543E-3,-2.564882161E-3
3.460415042E0,-1.331139356E-4,1.494143158E-3,9.223259985E-5
3.470395042E0,-1.216687355E-2,9.269508533E-3,2.218766604E-3
3.480404042E0,-3.175152931E-3,2.414710820E-3,3.121709451E-4
3.490414042E0,2.667168155E-4,7.289294153E-4,2.623698674E-4
3.500393042E0,-3.927557729E-3,2.892449498E-3,-1.042586053E-3
3.510403042E0,-8.183172904E-4,2.388767898E-4,8.732920978E-4
3.520382042E0,-1.737261191E-3,2.498891205E-3,1.943029929E-4
3.530392042E0,-3.643551841E-3,3.128727898E-3,-6.721937098E-5
3.540402042E0,-2.043750137E-4,-3.167502582E-4,1.645872835E-4
3.550381042E0,9.740934707E-3,-7.351756096E-3,-9.590003174E-4
3.560391042E0,-5.489252508E-4,-2.419549972E-3,-7.465379313E-4
3.570370042E0,-6.197653711E-4,-2.580672503E-3,-3.638416529E-4
3.580380042E0,6.225425750E-4,-3.643034026E-3,-2.254480962E-3
3.590390042E0,-6.805420853E-4,2.346148714E-3,9.205890819E-6
3.600369042E0,2.143067308E-3,-3.205945715E-3,4.824534990E-4
3.610379042E0,8.642170578E-4,-8.953884244E-4,-6.189662963E-5
3.620358042E0,2.021156251E-4,1.969752833E-3,-5.136083346E-4
3.630368042E0,8.101146668E-4,4.706587642E-4,-1.448644325E-3
3.640378042E0,-3.703227267E-4,-1.384824514E-3,-1.026783139E-7
3.650357042E0,-2.558068372E-4,-5.741585046E-4,-1.718765125E-4
3.660367042E0,1.950768754E-3,-5.430635065E-4,-2.590396907E-4
3.670346042E0,1.328388229E-3,-1.504464075E-3,-5.213611294E-4
3.680356042E0,-1.930074301E-3,2.417931333E-3,5.782390945E-4
3.690365042E0,2.398894168E-3,-1.884672791E-3,2.373545431E-4
3.700345042E0,1.121284440E-3,-2.423342317E-3,-1.090716338E-3
3.710354042E0,-2.215389628E-3,6.374288350E-4,3.061115276E-4
3.720334042E0,-1.449679956E-3,-1.046992838E-3,-5.927169695E-5
3.730343042E0,-1.369518694E-3,1.050246879E-3,1.386558521E-3
3.740353042E0,1.966838725E-3,8.126646280E-4,-1.913147513E-3
3.750332042E0,-6.372584030E-3,4.222575575E-3,1.316275448E-4
3.760342042E0,-2.295550890E-3,1.075252891E-3,1.008275431E-4
3.770321042E0,2.567381598E-3,-2.559162676E-3,-2.441159450E-3
3.780331042E0,1.968136057E-3,-1.226399094E-3,3.003187012E-4
3.790341042E0,-2.209564205E-3,2.083111554E-3,-7.479013875E-4
3.800320042E0,1.692357473E-3,-8.814595640E-4,1.559464727E-4
3.810330042E0,1.042279415E-3,-8.071567863E-4,-3.044260666E-6
3.820309042E0,-7.003435865E-3,4.111284390E-3,8.186239284E-4
3.830319042E0,-2.648634836E-3,-4.019755870E-4,3.701474052E-4
3.840329042E0,6.857952103E-4,-2.329200506E-4,6.474808324E-4
3.850308042E0,-2.474311739E-3,3.181518987E-3,3.528548405E-6
3.860318042E0,-1.631965395E-3,3.990400583E-4,-1.939511858E-4
3.870297042E0,-2.192561049E-3,1.506382599E-3,-6.038118154E-4
3.880307042E0,3.992857412E-3,-3.647517413E-3,1.195137156E-3
3.890317042E0,-1.920159440E-3,1.005290076E-3,-2.528235782E-4
3.900296042E0,3.160711378E-3,-4.295762628E-4,8.095433004E-4
3.910306042E0,1.823538914E-3,1.114789397E-3,1.488116803E-3
3.920285042E0,-8.588153869E-4,5.533881485E-4,-1.306484919E-4
