"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.137803250E0,-4.266128540E-2,5.059478760E-2,9.859397278E0
3.147538250E0,-1.437011719E-2,5.328918457E-2,9.851314087E0
3.157273250E0,-1.781295776E-2,3.263214111E-2,9.840386810E0
3.167008250E0,-2.290237427E-2,1.257385254E-2,9.851463776E0
3.176743250E0,-2.619552612E-2,3.248245239E-2,9.850865021E0
3.186479250E0,-2.110610962E-2,1.856140137E-2,9.843679962E0
3.196214250E0,-3.981719971E-2,1.706451416E-2,9.863139496E0
3.205949250E0,-6.167175293E-2,7.484436035E-3,9.854756927E0
3.215653250E0,-6.855743408E-2,2.155517578E-2,9.825867004E0
3.225389250E0,-7.020401001E-2,2.335144043E-2,9.847122803E0
3.235124250E0,-7.978408813E-2,3.712280273E-2,9.844129028E0
3.244859250E0,-9.280700684E-2,3.442840576E-2,9.841883698E0
3.254594250E0,-1.052311707E-1,3.502716064E-2,9.848170624E0
3.264329250E0,-6.541397095E-2,2.454895020E-2,9.858050079E0
3.274064250E0,-6.376739502E-2,3.412902832E-2,9.853260040E0
3.283799250E0,-4.445755005E-2,1.975891113E-2,9.859397278E0
3.293534250E0,-1.212478638E-2,1.347198486E-2,9.852361908E0
3.303269250E0,-2.065704346E-2,5.104385376E-2,9.842332764E0
3.313004250E0,-2.694396973E-3,3.263214111E-2,9.857900391E0
3.322740250E0,2.844085693E-3,5.119354248E-2,9.863887939E0
3.332475250E0,-3.622467041E-2,3.712280273E-2,9.838590546E0
3.342210250E0,-3.532653809E-2,1.736389160E-2,9.861043854E0
3.351914250E0,-4.520599365E-2,7.185058594E-3,9.855505371E0
3.361650250E0,-6.406677246E-2,4.640350342E-3,9.854158173E0
3.371385250E0,-7.604187012E-2,3.143463135E-2,9.845625916E0
3.381120250E0,-6.825805664E-2,3.742218018E-2,9.868228912E0
3.390855250E0,-6.915618896E-2,3.487747192E-2,9.849817200E0
3.400590250E0,-5.298980713E-2,6.900650024E-2,9.846973114E0
3.410325250E0,-6.810836792E-2,3.248245239E-2,9.850116577E0
3.420060250E0,-3.876937866E-2,3.517684937E-2,9.840536499E0
3.429745042E0,-3.382965088E-2,1.317260742E-2,9.849068756E0
3.439480042E0,-3.457809448E-2,1.960922241E-2,9.858349457E0
3.449215042E0,-2.589614868E-2,4.041595459E-2,9.835596771E0
3.458951042E0,-3.472778320E-2,1.107696533E-2,9.843979340E0
3.468686042E0,-5.897735596E-2,2.335144043E-2,9.837692413E0
