"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.779443351E2,1.787921906E1,1.884855270E1,-4.599493408E1
1.779543451E2,1.787992096E1,1.876807022E1,-4.581457520E1
1.779643551E2,1.787992096E1,1.876807022E1,-4.581457520E1
1.779743341E2,1.799576569E1,1.890090561E1,-4.582550049E1
1.779843441E2,1.799576569E1,1.890090561E1,-4.582550049E1
1.779943541E2,1.789920807E1,1.887907791E1,-4.588104248E1
1.780043331E2,1.789920807E1,1.887907791E1,-4.588104248E1
1.780143431E2,1.770986176E1,1.873062515E1,-4.590380859E1
1.780243531E2,1.770986176E1,1.873062515E1,-4.590380859E1
1.780343321E2,1.805637360E1,1.885417557E1,-4.598461914E1
1.780443421E2,1.805637360E1,1.885417557E1,-4.598461914E1
1.780543211E2,1.797776031E1,1.886970901E1,-4.603051758E1
1.780643311E2,1.787075043E1,1.882154465E1,-4.597839355E1
1.780743401E2,1.787075043E1,1.882154465E1,-4.597839355E1
1.780843201E2,1.778421783E1,1.869161606E1,-4.589276123E1
1.780943291E2,1.778421783E1,1.869161606E1,-4.589276123E1
1.781043391E2,1.780789948E1,1.908603287E1,-4.595916748E1
1.781143181E2,1.780789948E1,1.908603287E1,-4.595916748E1
1.781243281E2,1.779850006E1,1.874954605E1,-4.595727539E1
1.781343071E2,1.779850006E1,1.874954605E1,-4.595727539E1
1.781443171E2,1.796762848E1,1.887311935E1,-4.600482178E1
1.781543271E2,1.796762848E1,1.887311935E1,-4.600482178E1
1.781643061E2,1.793506622E1,1.866027451E1,-4.577929688E1
1.781743161E2,1.793506622E1,1.866027451E1,-4.577929688E1
1.781843261E2,1.791167450E1,1.878152084E1,-4.588446045E1
1.781943051E2,1.791167450E1,1.878152084E1,-4.588446045E1
1.782043151E2,1.776197052E1,1.881615067E1,-4.597637939E1
1.782143241E2,1.776197052E1,1.881615067E1,-4.597637939E1
1.782243041E2,1.778553009E1,1.891894150E1,-4.623138428E1
1.782343131E2,1.778553009E1,1.891894150E1,-4.623138428E1
1.782442931E2,1.785796356E1,1.885079575E1,-4.592242432E1
1.782543021E2,1.785796356E1,1.885079575E1,-4.592242432E1
1.782643121E2,1.803759003E1,1.892628098E1,-4.591735840E1
1.782742911E2,1.803759003E1,1.892628098E1,-4.591735840E1
1.782843011E2,1.797292328E1,1.885714340E1,-4.609912109E1
1.782943111E2,1.797292328E1,1.885714340E1,-4.609912109E1
1.783042901E2,1.791153717E1,1.874673843E1,-4.600872803E1
1.783143001E2,1.791153717E1,1.874673843E1,-4.600872803E1
1.783242791E2,1.795807648E1,1.881448746E1,-4.589624023E1
1.783342891E2,1.795807648E1,1.881448746E1,-4.589624023E1
1.783442991E2,1.769214630E1,1.889388657E1,-4.592108154E1
1.783542781E2,1.769214630E1,1.889388657E1,-4.592108154E1
1.783642881E2,1.784975433E1,1.882877731E1,-4.588879395E1
1.783742981E2,1.784975433E1,1.882877731E1,-4.588879395E1
1.783842771E2,1.792137909E1,1.882297897E1,-4.596215820E1
1.783942871E2,1.792137909E1,1.882297897E1,-4.596215820E1
1.784042961E2,1.787041473E1,1.883095932E1,-4.564007568E1
