"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.148862749E2,5.233419247E1,4.867291107E0,4.393804967E-1,1.887937167E-1,-1.000000000E0,2.052229024E2,2.052229024E2
1.158862358E2,5.233418713E1,4.867282598E0,4.443117976E-1,1.734059445E-1,-1.000000000E0,2.047383514E2,2.047383514E2
1.168861977E2,5.233418441E1,4.867248927E0,4.457260370E-1,1.616487983E-1,-1.000000000E0,2.045708584E2,2.045708584E2
1.178861579E2,5.233418804E1,4.867164388E0,4.459086955E-1,6.980578693E-1,-1.000000000E0,2.000000000E2,2.000000000E2
1.188861197E2,5.233419305E1,4.867075594E0,4.446553588E-1,1.153643560E0,-1.000000000E0,2.000000000E2,2.000000000E2
1.198860816E2,5.233419906E1,4.866984428E0,4.425124228E-1,1.497100997E0,-1.000000000E0,2.053723987E2,2.053723987E2
1.208860425E2,5.233420579E1,4.866892112E0,4.372621477E-1,1.763872484E0,-1.000000000E0,2.165843852E2,2.165843852E2
1.218860025E2,5.233421502E1,4.866800490E0,4.334587753E-1,2.122767524E0,2.832212759E2,2.248702100E2,2.248702100E2
1.228859645E2,5.233423375E1,4.866726671E0,4.214437306E-1,2.037442789E0,2.881832136E2,2.267859291E2,2.267859291E2
1.238859252E2,5.233425090E1,4.866659177E0,4.131311774E-1,1.996398084E0,2.893957379E2,2.293217169E2,2.293217169E2
1.248858864E2,5.233426859E1,4.866600611E0,4.080601335E-1,1.882460426E0,2.894816267E2,2.391559090E2,2.391559090E2
1.258858479E2,5.233435927E1,4.866549239E0,4.061045945E-1,1.782542847E0,2.927708378E2,2.129132127E2,2.129132127E2
1.268858081E2,5.233443272E1,4.866505047E0,4.046846628E-1,1.717718276E0,2.944869412E2,2.210489941E2,2.210489941E2
1.278857700E2,5.233448598E1,4.866470936E0,4.003818929E-1,1.613558220E0,2.863374109E2,2.233495640E2,2.233495640E2
1.288857305E2,5.233448663E1,4.866493193E0,3.963292241E-1,1.562633235E0,2.787276680E2,2.237061171E2,2.237061171E2
1.298856927E2,5.233448086E1,4.866499279E0,3.929899335E-1,1.385157959E0,-1.000000000E0,2.306804996E2,2.306804996E2
1.308856536E2,5.233446927E1,4.866509794E0,3.902625144E-1,9.168880013E-1,-1.000000000E0,2.275683061E2,2.275683061E2
1.318856149E2,5.233444804E1,4.866563994E0,3.783226013E-1,0.000000000E0,2.176171875E2,1.331113991E2,1.331113991E2
1.328855746E2,5.233442859E1,4.866584949E0,3.813743591E-1,1.599999964E-1,2.151562500E2,1.197408017E2,1.197408017E2
1.338855358E2,5.233443526E1,4.866593750E0,3.899803162E-1,1.559999943E0,3.589453125E2,1.218869826E2,1.218869826E2
1.348854967E2,5.233445118E1,4.866597606E0,3.938255310E-1,1.559999943E0,2.109375000E0,1.236731402E2,1.236731402E2
1.358854584E2,5.233446828E1,4.866597690E0,3.940086365E-1,1.590000033E0,2.812500000E0,1.255715058E2,1.255715058E2
1.368854195E2,5.233448894E1,4.866586374E0,3.974876404E-1,1.620000005E0,3.585937500E2,1.264523545E2,1.264523545E2
1.378853815E2,5.233450566E1,4.866565587E0,3.908348083E-1,1.269999981E0,3.585937500E2,1.282857486E2,1.282857486E2
1.388853419E2,5.233451019E1,4.866555277E0,3.908348083E-1,1.269999981E0,3.585937500E2,1.387749903E2,1.387749903E2
1.398853025E2,5.233451019E1,4.866555277E0,3.908348083E-1,0.000000000E0,3.585937500E2,1.387749903E2,1.387749903E2
1.408852639E2,5.233451019E1,4.866555277E0,3.852806091E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.418852246E2,5.233451019E1,4.866555277E0,3.852806091E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.428851868E2,5.233451019E1,4.866555277E0,3.852806091E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.438851473E2,5.233451019E1,4.866555277E0,3.852806091E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.448851081E2,5.233451019E1,4.866555277E0,3.852195740E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.458850694E2,5.233451019E1,4.866555277E0,3.852195740E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.468850312E2,5.233451019E1,4.866555277E0,3.852195740E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.478849912E2,5.233451019E1,4.866555277E0,3.851585388E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.488849516E2,5.233451019E1,4.866555277E0,3.852195740E-1,0.000000000E0,2.102343750E2,1.376249517E2,1.376249517E2
1.498849142E2,5.233451405E1,4.866546141E0,3.821067810E-1,-1.000000000E0,-1.000000000E0,1.198046992E2,1.198046992E2
1.508848754E2,5.233451405E1,4.866546141E0,3.866233826E-1,0.000000000E0,3.410156250E1,1.375558174E2,1.375558174E2
1.518848368E2,5.233450444E1,4.866561341E0,3.866235912E-1,4.788062156E-1,-1.000000000E0,2.206774735E2,2.206774735E2
1.528847979E2,5.233445998E1,4.866594840E0,4.086570740E-1,-1.000000000E0,-1.000000000E0,1.271395921E2,1.271395921E2
1.538847574E2,5.233445998E1,4.866594840E0,4.062767029E-1,0.000000000E0,1.381640625E2,1.246374500E2,1.246374500E2
1.548847592E2,5.233442796E1,4.866603808E0,3.973045349E-1,2.399999946E-1,9.738281250E1,1.321300342E2,1.321300342E2
1.558846803E2,5.233442830E1,4.866560977E0,3.849754333E-1,1.800000072E-1,9.738281250E1,1.228855168E2,1.228855168E2
1.568846413E2,5.233442830E1,4.866560977E0,3.849754333E-1,0.000000000E0,9.738281250E1,1.228855168E2,1.228855168E2
