Time (s),X (hPa)
1654802829958957056,985.0531768999999
1654802831025069056,985.0559235
1654802832091159808,985.0586699999999
1654802833157220864,985.0603484999999
1654802834223183872,985.0604248
1654802835289246720,985.0621796
1654802836355346944,985.0630187999999
1654802837421399808,985.0640106000001
1654802838487510016,985.0645447
1654802839553544960,985.0653076
1654802840619614720,985.0682068
1654802841685709056,985.0686645999999
1654802842751721984,985.0700377999999
1654802843817782016,985.0701141000001
1654802844883802880,985.0704193
1654802845949891840,985.0706482
1654802847015973888,985.0712585000001
1654802848082021120,985.0723267000001
1654802849148102912,985.0737
1654802850214184960,985.076828
1654802851280293888,985.0771332
1654802852346350080,985.0803375
1654802853412402944,985.0803375
1654802854478419712,985.0804901
1654802855544463104,985.0808716
1654802856610521856,985.0817107999999
1654802857676555008,985.0820160000001
1654802858742561792,985.0820160000001
1654802859808647936,985.0833892999999
1654802860874724864,985.0833892999999
1654802861940749056,985.0836182
1654802863006818816,985.0874329
1654802864072914688,985.0898742999999
1654802865138949120,985.0928497000001
1654802866204979968,985.094223
1654802867271045120,985.0966643999999
1654802868337088000,985.0980377000001
1654802869403205888,985.100708
1654802870469306880,985.1024627999999
1654802871535439872,985.1051331
1654802872601579008,985.1053618999999
1654802873667704832,985.1053618999999
1654802874733867008,985.1049042000001
1654802875800004096,985.1049042000001
1654802876866152960,985.1084137
1654802877932308992,985.1094818
1654802878998405888,985.1106262
1654802880064458752,985.1106262
1654802881130490880,985.1113129
1654802882196536832,985.1126098999999
1654802883262597888,985.1139069
1654802884328683008,985.1160431
1654802885394757888,985.1191711000001
1654802886460787712,985.1191711000001
1654802887526860032,985.1160431
1654802888592907008,985.1108551000001
1654802889658960896,985.1064301000001
1654802890725015808,985.1021575999999
1654802891791046912,985.1016998
1654802892857092096,985.1006317
1654802893923153920,985.100174
1654802894989233920,985.0996399
1654802896055292928,985.0989532
1654802897121341952,985.0953674000001
1654802898187415040,985.0933074999999
1654802899253470976,985.0892639
1654802900319567104,985.0859832999998
1654802901385686016,985.0836945
1654802902451788032,985.0824738
1654802903517894912,985.0805663999998
1654802904583994880,985.0771332
1654802905650085120,985.0702667000002
1654802906716177920,985.0644684
1654802907782251776,985.0604248
1654802908848314880,985.0584412000001
1654802909914376960,985.0584412000001
1654802910980477696,985.0636292000002
1654802912046544896,985.0668335000001
1654802913112666880,985.0692749
1654802914178825984,985.0740051000001
1654802915244957952,985.0748444
1654802916311034112,985.0767517
1654802917377127936,985.0792694
